kodeBarang,namaBarang,supplier,kodeKategori,kodeSubkategori,kemasan,satuan,hpp,hargaJual,berat,stokToko,stokGudang,stokTotal,lokasiToko,lokasiGudang,createdAt,updatedAt
ACC001,Isolator TO-247/TO3P,Novatech,KD031,KS006,NA,pcs,200,300,0,3,0,3,D2-18,D4-2,,2019-05-27 04:31:01
ACC002,Isolator TO-3,Novatech,KD031,KS006,NA,pcs,0,600,4,0,0,0,D2-19,D4-2,,2019-03-01 01:34:07
ACC003,Isolator TO-220,Duta Sonic,KD031,KS001,,pcs,100,200,0.05,0,0,0,D2-20,D4-2,,2019-03-01 01:34:14
ACC004,Casing Acrylic Arduino UNO R3 ,M Kontrol Madiun,KD031,KS321,#NA,pcs,22500,37500,100,0,0,0,L3-1,,,
ACC005,Official CAse Raspberry PI 3 Merah Putih ,RAJACELL BEKASI,KD031,KS321,#NA,pcs ,45000,65000,100,1,0,1,L3-1,,,
ACC006,Isolasi Listrik National,Eltra Surabaya,KD031,KS001,#NA,pcs,3850,6500,85,0,0,0,L2-2,,,
ACC007,Steker Listrik On Off Lampu,S004,KD010,KS283,#NA,pcs,0,26000,0,0,0,0,,,2019-08-02 08:08:05,2019-08-02 08:12:55
ANT003,GSM Antenna with Interface Cable (Long and SMA Plug RA),Novatech,KD001,KS008,#NA,pcs,0,35000,10,0,0,0,ALPHA-A12,ALPHA-A12,,
BAT001,CR2032 Lithium Battery,Novatech,KD020,KS205,#NA,pcs,1210,5000,5,33,0,33,K8-22/L2-1,D3-5,,2019-08-05 08:01:48
BAT002,CR2032 Kuning,Novatech,KD020,KS205,#NA,pcs,3496,7500,3,0,0,0,K8-24,D3-5,,
BAT003,CR2032 Lithium Battery Panasonic,Novatech,KD020,KS207,#NA,pcs,3200,5000,4,0,0,0,K8-25,D3-5,,
BAT004,Baterai Lippo 850mah ,Buaya Instrument,KD020,KS206,#NA,pcs,160000,330000,100,0,0,0,L3-3,,,
BAT005,Baterai GP23AE 12V,Duta Sonic,KD020,KS205,#na,pcs,6600,8500,10,0,0,0,,,,
BATHOL001,CR2032 Battery Holder,Novatech,KD020,KS207,#NA,pcs,934,2500,2,25,90,115,K8-23,D3-5,,2019-08-05 08:01:47
BATHOL002,9 Volt Battery Clip,Novatech,KD002,KS040,#NA,pcs,1050,1500,2,20,0,20,L1-2,D3-5,,2019-09-16 08:57:56
BATHOL003,2AA Battery Holder,Duta Sonic,KD002,KS040,#NA,pcs,1200,2200,5,9,0,9,L2-3,D3-5,,2019-05-24 07:02:03
BATHOL004,4AA Battery Holder,Duta Sonic,KD002,KS040,#NA,pcs,2200,3300,13,10,0,10,L2-3,D3-5,,2019-07-15 09:04:29
BATHOL005,CR2012 Battery Holder,Eshinede,KD002,KS040,#NA,pcs,983,2000,1.5,0,0,0,#NA,D3-5,,
BOX001,Box SFE01 Uk 5cmx7.5cmx2.5cm,Novatech,KD003,KS010,#NA,pcs,4000,18000,70,1,6,7,L2-3,F5-1,,2019-08-09 02:32:42
BOX012,Kotak Putih uk. 7x21,Novatech,KD003,KS010,#NA,pcs,2666,6500,51,9,10,19,,F5-3,,2019-03-04 08:43:20
BOX013,Kotak Komponen Putih uk. 4x9,UD Sandjaja Raya Surabaya,KD003,KS010,#NA,pcs,2000,4500,24,0,10,10,,F5-3,,
BRAC001,Sharp IR Sensor Mounting Bracket-GP2Y0A21/GP2Y0A21YK,Novatech,KD031,KS004,#NA,pcs,39762,65000,8,0,0,0,#NA,B2-3,,
BRAC002,Pan and Tilt Kit (Black Anodized),DFRobot,KD031,KS004,#NA,pcs,99404,135000,33,2,4,6,L2-2,B2-3,,
BRAC003,Alumunium Multi-Purpose Servo Bracket,DFRobot,KD031,KS004,#NA,pcs,51690,85000,17.6,4,0,4,L2-2,B2-3,,
BRAC004,Long U-Bracket,DFRobot,KD031,KS004,#NA,pcs,46389,80000,11.5,5,0,5,L2-2,B2-3,,
BRAC005,Sharp IR Sensor Mounting Bracket GP2D12,Novatech,KD031,KS004,#NA,pcs,0,75000,8,0,0,0,L1-3,,,
BUZ001,5V Active Buzzer,Novatech,KD004,KS309,DIP,pcs,1800,3700,2,49,20,69,K3-24,D2-3,,2019-09-23 06:30:52
BUZ002,12V Active Buzzer,Novatech,KD004,KS309,DIP,pcs,1065,3700,2,0,0,0,K3-25,D2-3,,
BUZ003,5V Passive Buzzer,Novatech,KD004,KS310,NA,pcs,1000,3500,5,21,0,21,K2-7,D2-3,,2019-06-02 03:20:03
BUZ004,12V Passive Buzzer,Novatech,KD004,KS310,NA,pcs,0,3500,5,80,0,80,K2-8,D2-3,,
BUZ005,6-24V Continous Buzzer Putih,Novatech,KD004,KS309,#NA,pcs,7000,10000,25,0,0,0,L2-1,D2-3,,
BUZ006,3-24V Buzzer Putih ( Bunyi terus ) ,Novatech,KD004,KS309,#NA,pcs,5857,15000,25,0,4,4,L2-1,,,2019-08-28 02:39:34
C010102001,1pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,40,100,0,232,0,232,G7-1,C5-2,,2019-04-15 03:39:01
C010102002,2.2pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,100,0,0,0,0,G7-2,C5-2,,
C010102003,3.3pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,100,0,0,0,0,G7-3,C5-2,,
C010102004,4.7pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,100,0,0,0,0,G7-4,C5-2,,
C010102005,6.8pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,46,100,0,10,0,10,G7-5,C5-2,,2019-07-09 07:58:03
C010102006,8pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,100,0,8,200,208,G7-6,C5-2,,2019-07-04 07:46:26
C010102007,10pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,0,400,400,G7-7,C5-2,,2019-07-09 07:58:04
C010102008,12pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,100,0,0,0,0,G7-8,C5-2,,
C010102009,15pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,20,100,0,40,0,40,G7-9,C5-2,,2019-07-09 07:58:04
C010102010,22pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,412,2300,2712,G7-10,C5-2,,2019-09-03 05:57:48
C010102011,33pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,500,1000,1500,G7-11,C5-2,,2019-09-17 09:07:21
C010102012,47pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,32,100,0,786,0,786,G7-12,C5-2,,2019-07-18 09:40:27
C010102013,56pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,20,100,0,0,270,270,G7-13,C5-2,,2019-04-15 03:39:00
C010102014,68pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,835,0,835,G7-14,C5-2,,2019-07-09 07:58:05
C010102015,100pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,23,100,0,30,0,30,G7-15,C5-2,,2019-06-28 07:01:24
C010102016,150pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,985,0,985,G7-16,C5-2,,2019-08-20 07:51:12
