kodeKategori,namaKategori
KD000,--- All Kategori ---
KD001,Antenna
KD002,Connector
KD003,Box
KD004,Buzzer
KD005,Capacitor
KD006,Cable
KD007,Diode
KD008,DevBoard
KD009,Display
KD010,Tool
KD011,Fuse
KD012,Functional Module
KD013,Integrated Circuit
KD014,Switch
KD015,Inductor
KD016,Sensor
KD017,Selenoid
KD018,Motor
KD019,PCB
KD020,Power Supply
KD021,SCR-TRIAC-DIAC
KD022,Resistor
KD023,Robot Kit
KD024,Relay
KD025,Crystal
KD026,Socket
KD027,Spacer
KD028,Transformator
KD029,Transistor
KD030,Variable Resistor
KD031,Aksesoris
KD032,Microcontroller
KD033,Oscillator
KD034,Piezoelectric
KD035,Varistor
KD036,Score Board
